,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
759,1,12.0,4,0,691.0,1,5,4.0,3,1,3.0,2,35.0,3,2,2.0,3,1.0,1,1,2.0
761,1,18.0,4,2,2124.0,1,3,4.0,2,1,4.0,1,24.0,3,1,2.0,3,1.0,1,1,2.0
763,4,21.0,4,0,12680.0,5,5,4.0,3,1,4.0,4,30.0,3,3,1.0,4,1.0,2,1,2.0
766,1,30.0,2,2,3108.0,1,2,2.0,1,1,4.0,2,31.0,3,2,1.0,2,1.0,1,1,2.0
771,1,36.0,4,6,8065.0,1,3,3.0,2,1,2.0,4,25.0,3,2,2.0,4,1.0,2,1,2.0
775,1,24.0,2,0,1371.0,5,3,4.0,2,1,4.0,1,25.0,3,1,1.0,3,1.0,1,1,2.0
780,2,39.0,4,3,4933.0,1,4,2.0,3,3,2.0,1,25.0,3,2,2.0,3,1.0,1,1,2.0
783,2,12.0,2,0,836.0,2,2,4.0,2,1,2.0,2,23.0,1,2,1.0,2,1.0,1,1,2.0
788,2,48.0,3,6,6224.0,1,5,4.0,3,1,4.0,4,50.0,3,3,1.0,3,1.0,1,1,2.0
789,1,40.0,4,6,5998.0,1,3,4.0,3,1,3.0,4,27.0,1,2,1.0,3,1.0,2,1,2.0
790,2,21.0,2,9,1188.0,1,5,2.0,2,1,4.0,2,39.0,3,2,1.0,3,2.0,1,1,2.0
796,1,18.0,2,1,7511.0,5,5,1.0,3,1,4.0,2,51.0,3,3,1.0,3,2.0,2,1,2.0
805,1,36.0,2,0,9271.0,1,4,2.0,3,1,1.0,3,24.0,3,2,1.0,3,1.0,2,1,2.0
809,2,15.0,0,0,1778.0,1,2,2.0,2,1,1.0,1,26.0,3,1,2.0,1,1.0,1,1,2.0
812,1,36.0,4,1,9629.0,1,4,4.0,3,1,4.0,3,24.0,3,2,2.0,3,1.0,2,1,2.0
813,1,48.0,2,4,3051.0,1,3,3.0,3,1,4.0,3,54.0,3,2,1.0,3,1.0,1,1,2.0
814,1,48.0,2,0,3931.0,1,4,4.0,3,1,4.0,4,46.0,3,3,1.0,3,2.0,1,1,2.0
819,1,18.0,2,3,1345.0,1,3,4.0,4,1,3.0,1,26.0,1,2,1.0,3,1.0,1,1,2.0
822,1,36.0,2,2,2712.0,1,5,2.0,3,1,2.0,2,41.0,1,2,1.0,3,2.0,1,1,2.0
826,1,18.0,4,0,3966.0,1,5,1.0,2,1,4.0,1,33.0,1,1,3.0,3,1.0,2,1,2.0
827,4,18.0,0,9,4165.0,1,3,2.0,3,1,2.0,3,36.0,2,2,2.0,3,2.0,1,1,2.0
828,1,36.0,2,1,8335.0,5,5,3.0,3,1,4.0,4,47.0,3,3,1.0,3,1.0,1,1,2.0
831,1,18.0,2,0,1216.0,1,2,4.0,2,1,3.0,3,23.0,3,1,1.0,3,1.0,2,1,2.0
832,1,45.0,0,9,11816.0,1,5,2.0,3,1,4.0,3,29.0,3,1,2.0,3,1.0,1,1,2.0
834,3,15.0,2,3,2327.0,1,2,2.0,2,1,3.0,1,25.0,3,2,1.0,2,1.0,1,1,2.0
835,1,12.0,0,0,1082.0,1,3,4.0,3,1,4.0,3,48.0,1,2,2.0,3,1.0,1,1,2.0
840,1,36.0,2,2,5179.0,1,4,4.0,3,1,2.0,2,29.0,3,2,1.0,3,1.0,1,1,2.0
842,4,18.0,2,5,1943.0,1,2,4.0,2,1,4.0,1,23.0,3,2,1.0,3,1.0,1,1,2.0
846,4,18.0,2,0,6761.0,5,3,2.0,3,1,4.0,3,68.0,3,1,2.0,3,1.0,1,1,2.0
849,1,12.0,2,3,709.0,1,5,4.0,3,1,4.0,1,57.0,2,2,1.0,2,1.0,1,1,2.0
850,1,20.0,4,0,2235.0,1,3,4.0,4,3,2.0,2,33.0,1,1,2.0,3,1.0,1,2,2.0
853,1,18.0,1,0,1442.0,1,4,4.0,3,1,4.0,4,32.0,3,3,2.0,2,2.0,1,1,2.0
858,1,15.0,2,0,3959.0,1,3,3.0,2,1,2.0,2,29.0,3,2,1.0,3,1.0,2,1,2.0
861,4,18.0,3,9,2169.0,1,3,4.0,4,1,2.0,3,28.0,3,2,1.0,3,1.0,2,1,2.0
862,1,24.0,2,3,2439.0,1,2,4.0,2,1,4.0,1,35.0,3,2,1.0,3,1.0,2,1,2.0
864,4,10.0,2,2,2210.0,1,3,2.0,3,1,2.0,1,25.0,1,1,1.0,2,1.0,1,1,2.0
878,1,9.0,2,0,1422.0,1,2,3.0,3,1,2.0,4,27.0,3,3,1.0,4,1.0,2,1,2.0
884,2,24.0,2,2,4057.0,1,4,3.0,1,1,3.0,3,43.0,3,2,1.0,3,1.0,2,1,2.0
885,1,12.0,2,6,795.0,1,2,4.0,2,1,4.0,2,53.0,3,2,1.0,3,1.0,1,1,2.0
887,2,48.0,2,9,15672.0,1,3,2.0,3,1,2.0,3,23.0,3,2,1.0,3,1.0,2,1,2.0
899,1,18.0,2,2,4153.0,1,3,2.0,3,2,3.0,3,42.0,3,2,1.0,3,1.0,1,1,2.0
900,1,16.0,4,0,2625.0,1,5,2.0,3,3,4.0,2,43.0,1,1,1.0,3,1.0,2,1,2.0
911,2,24.0,4,2,4736.0,1,2,2.0,2,1,4.0,3,25.0,1,2,1.0,2,1.0,1,1,2.0
914,1,24.0,1,9,3161.0,1,3,4.0,3,1,2.0,2,31.0,3,1,1.0,3,1.0,2,1,2.0
915,2,48.0,0,1,18424.0,1,3,1.0,2,1,2.0,2,32.0,1,2,1.0,4,1.0,2,2,2.0
917,1,6.0,2,0,14896.0,1,5,1.0,3,1,4.0,4,68.0,1,2,1.0,4,1.0,2,1,2.0
918,1,24.0,2,2,2359.0,2,1,1.0,1,1,1.0,2,33.0,3,2,1.0,3,1.0,1,1,2.0
919,1,24.0,2,2,3345.0,1,5,4.0,3,1,2.0,2,39.0,3,1,1.0,4,1.0,2,1,2.0
922,1,9.0,2,3,1366.0,1,2,3.0,2,1,4.0,2,22.0,3,1,1.0,3,1.0,1,1,2.0
924,1,24.0,1,2,6872.0,1,2,2.0,1,1,1.0,2,55.0,1,2,1.0,3,1.0,2,1,2.0
925,1,12.0,1,0,697.0,1,2,4.0,3,1,2.0,3,46.0,1,2,2.0,3,1.0,2,1,2.0
927,1,48.0,2,1,10297.0,1,4,4.0,3,1,4.0,4,39.0,2,3,3.0,3,2.0,2,1,2.0
931,2,9.0,2,3,1670.0,1,2,4.0,2,1,2.0,3,22.0,3,2,1.0,3,1.0,2,1,2.0
935,2,30.0,3,3,1919.0,2,2,4.0,3,1,3.0,4,30.0,2,2,2.0,4,1.0,1,1,2.0
936,3,9.0,2,3,745.0,1,3,3.0,2,1,2.0,1,28.0,3,2,1.0,2,1.0,1,1,2.0
938,2,60.0,2,6,6288.0,1,3,4.0,3,1,4.0,4,42.0,3,3,1.0,3,1.0,1,1,2.0
946,1,24.0,1,2,3349.0,3,2,4.0,3,1,4.0,4,30.0,3,3,1.0,3,2.0,2,1,2.0
948,4,18.0,2,2,1533.0,1,2,4.0,4,2,1.0,2,43.0,3,2,1.0,2,2.0,1,1,2.0
949,4,24.0,2,3,3621.0,2,5,2.0,3,1,4.0,3,31.0,3,2,2.0,3,1.0,1,1,2.0
951,1,36.0,3,9,2145.0,1,4,2.0,3,1,1.0,3,24.0,3,2,2.0,3,1.0,2,1,2.0
952,2,24.0,2,1,4113.0,3,2,3.0,2,1,4.0,3,28.0,3,1,1.0,3,1.0,1,1,2.0
953,4,36.0,2,2,10974.0,1,1,4.0,2,1,2.0,3,26.0,3,2,2.0,4,1.0,2,1,2.0
958,1,28.0,2,0,4006.0,1,3,3.0,3,1,2.0,3,45.0,3,2,1.0,2,1.0,1,1,2.0
963,4,24.0,2,3,2397.0,3,5,3.0,3,1,2.0,3,35.0,1,2,2.0,3,1.0,2,1,2.0
966,2,27.0,4,3,2520.0,3,3,4.0,3,1,2.0,2,23.0,3,2,2.0,2,1.0,1,1,2.0
972,1,24.0,1,0,1193.0,1,1,1.0,2,2,4.0,4,29.0,3,1,2.0,1,1.0,1,1,2.0
973,1,60.0,2,9,7297.0,1,5,4.0,3,2,4.0,4,36.0,3,1,1.0,3,1.0,1,1,2.0
978,4,24.0,3,0,2538.0,1,5,4.0,3,1,4.0,3,47.0,3,2,2.0,2,2.0,1,1,2.0
979,2,15.0,1,0,1264.0,2,3,2.0,4,1,2.0,2,25.0,3,1,1.0,3,1.0,1,1,2.0
980,2,30.0,4,2,8386.0,1,4,2.0,3,1,2.0,2,49.0,3,2,1.0,3,1.0,1,1,2.0
981,4,48.0,2,9,4844.0,1,1,3.0,3,1,2.0,3,33.0,1,1,1.0,4,1.0,2,1,2.0
983,1,36.0,2,1,8229.0,1,3,2.0,3,1,2.0,2,26.0,3,2,1.0,3,2.0,1,1,2.0
998,1,45.0,2,3,1845.0,1,3,4.0,3,1,4.0,4,23.0,3,3,1.0,3,1.0,2,1,2.0
